名称,代码,公告日期,报告期,业绩预告类型,业绩预告区间 (万),业绩预告变脸,真实业绩 (万),是否达标,距离下限 (万)
 阳光电源 ,300274,2024-01-22,2023-12-31, 预增 , 扣除非经常性损益后的净利润变动170%至200% , 否 , - , - , - 
 阳光电源 ,300274,2024-01-22,2023-12-31, 预增 , 营业收入变动76%至89% , - , - , - , - 
 阳光电源 ,300274,2024-01-22,2023-12-31, 预增 , 归属于上市公司股东的净利润变动159%至187% , 否 , - , - , - 
 阳光电源 ,300274,2023-08-08,2023-06-30, 预增 , 归属于上市公司股东的净利润变动344%至400% , 否 , - , - , - 
 阳光电源 ,300274,2023-08-08,2023-06-30, 预增 , 营业收入变动112%至144% , - , - , - , - 
 阳光电源 ,300274,2023-08-08,2023-06-30, 预增 , 扣除非经常性损益后的净利润变动390%至453% , 否 , - , - , - 
 阳光电源 ,300274,2023-01-19,2022-12-31, 预增 , 归属于母公司所有者的净利润变动102%至140% , 否 , - , - , - 
 阳光电源 ,300274,2023-01-19,2022-12-31, 预增 , 扣除非经常性损益后的净利润变动125%至170% , 否 , - , - , - 
 阳光电源 ,300274,2023-01-19,2022-12-31, 预增 , 营业总收入变动62%至74% , - , - , - , - 
 阳光电源 ,300274,2021-01-26,2020-12-31, 预增 , 每股收益变动：1.27000000-1.41000000 , - , - , - , - 
 阳光电源 ,300274,2021-01-26,2020-12-31, 预增 , 净利润变动107%至130% , 否 , - , - , - 
 阳光电源 ,300274,2021-01-26,2020-12-31, 预增 , 扣非后净利润变动78%至100% , 否 , - , - , - 
 阳光电源 ,300274,2021-01-26,2020-12-31, 预增 , 营业税收入变动46%至54% , - , - , - , - 
 阳光电源 ,300274,2020-07-20,2020-06-30, 预增 , 净利润变动:25%~35% , 否 , - , - , - 
 阳光电源 ,300274,2020-04-09,2020-03-31, 预降 , 净利润比上年同期下降约5%~15% , 否 , - , - , - 
 阳光电源 ,300274,2020-01-21,2019-12-31, 预增 , 净利润变动:5%~15% , 否 , - , - , - 
 阳光电源 ,300274,2019-10-14,2019-09-30, 预平 , 净利润变动约-5%~5% , 否 , - , - , - 
 阳光电源 ,300274,2019-10-14,2019-09-30, 预降 , 净利润下降约3%~13% , 否 , - , - , - 
 阳光电源 ,300274,2019-07-12,2019-06-30, 预降 , 净利润变动:-18%~-8%。 , 否 , - , - , - 
 阳光电源 ,300274,2019-03-30,2019-03-31, 预降 , 净利润下降约26%~11% , 否 , - , - , - 
 阳光电源 ,300274,2019-01-30,2018-12-31, 预降 , 净利润下降约17%~22% , 否 , - , - , - 
